question,answer,category,difficulty,part_of_speech
il,the,Italian,Easy,Article
di,of/from,Italian,Easy,Preposition
e,and,Italian,Easy,Conjunction
a,to/at,Italian,Easy,Preposition
essere,to be,Italian,Medium,Verb
un,a/an,Italian,Easy,Article
in,in,Italian,Easy,Preposition
che,that/which,Italian,Easy,Pronoun
avere,to have,Italian,Medium,Verb
per,for,Italian,Easy,Preposition
non,not,Italian,Easy,Adverb
io,I,Italian,Easy,Pronoun
tutto,all/everything,Italian,Easy,Pronoun
ma,but,Italian,Easy,Conjunction
fare,to do/make,Italian,Medium,Verb
si,yes/oneself,Italian,Easy,Pronoun
lo,him/it,Italian,Easy,Pronoun
se,if,Italian,Easy,Conjunction
dire,to say,Italian,Medium,Verb
questo,this,Italian,Easy,Pronoun
con,with,Italian,Easy,Preposition
suo,his/her,Italian,Easy,Pronoun
da,from/by,Italian,Easy,Preposition
andare,to go,Italian,Medium,Verb
su,on,Italian,Easy,Preposition
come,how/as,Italian,Easy,Adverb
più,more,Italian,Easy,Adverb
ora,now,Italian,Easy,Adverb
molto,very/much,Italian,Easy,Adverb
casa,house,Italian,Easy,Noun
tempo,time,Italian,Easy,Noun
uomo,man,Italian,Easy,Noun
anno,year,Italian,Easy,Noun
giorno,day,Italian,Easy,Noun
vita,life,Italian,Easy,Noun
mano,hand,Italian,Easy,Noun
mondo,world,Italian,Easy,Noun
notte,night,Italian,Easy,Noun
occhio,eye,Italian,Easy,Noun
acqua,water,Italian,Easy,Noun
pane,bread,Italian,Easy,Noun
donna,woman,Italian,Easy,Noun
bambino,child,Italian,Easy,Noun
paese,country,Italian,Easy,Noun
città,city,Italian,Easy,Noun
strada,street,Italian,Easy,Noun
macchina,car,Italian,Easy,Noun
famiglia,family,Italian,Easy,Noun
amico,friend,Italian,Easy,Noun
lavoro,work,Italian,Easy,Noun
scuola,school,Italian,Easy,Noun
denaro,money,Italian,Easy,Noun
numero,number,Italian,Easy,Noun
parte,part,Italian,Easy,Noun
gruppo,group,Italian,Easy,Noun
problema,problem,Italian,Easy,Noun
posto,place,Italian,Easy,Noun
caso,case/situation/instance,Italian,Easy,Noun
fatto,fact,Italian,Easy,Noun
momento,moment,Italian,Easy,Noun
persona,person,Italian,Easy,Noun
cosa,thing,Italian,Easy,Noun
parola,word,Italian,Easy,Noun
storia,story,Italian,Easy,Noun
libro,book,Italian,Easy,Noun
porta,door,Italian,Easy,Noun
finestra,window,Italian,Easy,Noun
tavolo,table,Italian,Easy,Noun
sedia,chair,Italian,Easy,Noun
letto,bed,Italian,Easy,Noun
cibo,food,Italian,Easy,Noun
fiore,flower,Italian,Easy,Noun
albero,tree,Italian,Easy,Noun
mare,sea,Italian,Easy,Noun
sole,sun,Italian,Easy,Noun
luna,moon,Italian,Easy,Noun
terra,earth/land,Italian,Easy,Noun
fuoco,fire,Italian,Easy,Noun
aria,air,Italian,Easy,Noun
vento,wind,Italian,Easy,Noun
pioggia,rain,Italian,Easy,Noun
neve,snow,Italian,Easy,Noun
colore,color,Italian,Easy,Noun
rosso,red,Italian,Easy,Adjective
blu,blue,Italian,Easy,Adjective
verde,green,Italian,Easy,Adjective
giallo,yellow,Italian,Easy,Adjective
nero,black,Italian,Easy,Adjective
bianco,white,Italian,Easy,Adjective
grande,big/large,Italian,Easy,Adjective
piccolo,small,Italian,Easy,Adjective
nuovo,new,Italian,Easy,Adjective
vecchio,old,Italian,Easy,Adjective
buono,good,Italian,Easy,Adjective
cattivo,bad,Italian,Easy,Adjective
bello,beautiful,Italian,Easy,Adjective
brutto,ugly,Italian,Easy,Adjective
giovane,young,Italian,Easy,Adjective
lungo,long,Italian,Easy,Adjective
